time,grid_load,soc
358.0,14.615219968381538,93.544
359.0,14.35064084447764,93.661
360.0,14.09085139277554,93.776
361.0,13.835764905905961,93.889
362.0,13.585296246161917,93.999
363.0,13.339361817083155,94.108
364.0,13.097879535554974,94.215
365.0,12.860768804412164,94.32
366.0,12.627950485538872,94.423
367.0,12.399346873455455,94.524
368.0,12.17488166938348,94.623
369.0,11.95447995578027,94.721
370.0,11.738068171334351,94.816
371.0,11.525574086413657,94.91
372.0,11.316926778958148,95.002
373.0,11.11205661080885,95.093
374.0,10.91089520446541,95.182
375.0,10.71337542026442,95.269
376.0,10.519431333970862,95.355
377.0,10.328998214775227,95.439
378.0,10.142012503688948,95.522
379.0,9.958411792330955,95.603
380.0,9.77813480209822,95.683
381.0,9.601121363713423,95.761
382.0,9.427312397142828,95.838
383.0,9.256649891877727,95.913
384.0,9.089076887572862,95.988
385.0,8.924537455035296,96.06
386.0,8.762976677557496,96.132
387.0,8.604340632588329,96.202
388.0,8.448576373735847,96.271
389.0,8.295631913095905,96.338
390.0,8.145456203900665,96.405
391.0,7.997999123481211,96.47
392.0,7.853211456538615,96.534
393.0,7.711044878717813,96.597
394.0,7.571451940478873,96.659
395.0,7.434386051260223,96.719
396.0,7.299801463928582,96.779
397.0,7.1676532595103835,96.837
398.0,7.037897332199608,96.895
399.0,6.910490374637057,96.951
400.0,6.785389863456022,97.006
401.0,6.662554045089723,97.06
402.0,6.541941921835623,97.114
403.0,6.42351323817202,97.166
404.0,6.307228467322355,97.218
405.0,6.1930487980627715,97.268
406.0,6.080936121768445,97.318
407.0,5.970853019694461,97.366
408.0,5.862762750486925,97.414
409.0,5.756629237920161,97.461
410.0,5.652417058855904,97.507
411.0,5.550091431420468,97.552
412.0,5.449618203395944,97.597
413.0,5.350963840821545,97.64
414.0,5.254095416801322,97.683
415.0,5.158980600514454,97.725
416.0,5.065587646424521,97.767
417.0,4.97388538368411,97.807
418.0,4.883843205731226,97.847
419.0,4.795431060074039,97.886
420.0,4.708619438260562,97.924
421.0,4.623379366029899,97.962
422.0,4.5396823936418045,97.999
423.0,4.45750058638128,98.036
424.0,4.376806515235085,98.071
425.0,4.2975732477370245,98.106
426.0,4.219774338978964,98.141
427.0,4.143383822784574,98.174
428.0,4.068376203042852,98.208
429.0,3.994726445198547,98.24
430.0,3.922409967896604,98.272
431.0,3.8514026347779002,98.304
432.0,3.781680746423486,98.334
433.0,3.7132210324446624,98.365
434.0,3.6460006437162584,98.394
435.0,3.5799971447504935,98.424
436.0,3.515188506208912,98.452
437.0,3.451553097549866,98.48
438.0,3.3890696798091025,98.508
439.0,3.3277173985110435,98.535
440.0,3.2674757767083893,98.562
441.0,3.20832470814774,98.588
442.0,3.150244450558913,98.614
443.0,3.0932156190657714,98.639
444.0,3.037219179716326,98.664
445.0,2.98223644312995,98.688
446.0,2.9282490582596155,98.712
447.0,2.8752390062670456,98.735
448.0,2.8231885945087414,98.758
449.0,2.7720804506308827,98.781
450.0,2.721897516771129,98.803
451.0,2.672623043865385,98.825
452.0,2.6242405860576303,98.846
453.0,2.5767339952109456,98.867
454.0,2.5300874155179134,98.888
455.0,2.4842852782085743,98.908
456.0,2.4393122963541956,98.928
457.0,2.3951534597651034,98.947
458.0,2.351794029980876,98.967
459.0,2.3092195353512426,98.985
460.0,2.2674157662060113,99.004
461.0,2.226368770112451,99.022
462.0,2.18606484721853,99.04
463.0,2.1464905456804435,99.057
464.0,2.1076326571729314,99.075
465.0,2.069478212480861,99.091
466.0,2.0320144771706192,99.108
467.0,1.9952289473398714,99.124
468.0,1.9591093454442496,99.14
469.0,1.9236436161996027,99.156
470.0,1.8888199225584197,99.171
471.0,1.8546266417590973,99.186
472.0,1.821052361446723,99.201
473.0,1.788085875864085,99.216
474.0,1.755716182111645,99.23
475.0,1.7239324764751955,99.244
476.0,1.6927241508200195,99.258
477.0,1.6620807890503142,99.272
478.0,1.6319921636327162,99.285
479.0,1.602448232182754,99.298
480.0,1.5734391341131058,99.311
481.0,1.5449551873425202,99.323
482.0,1.5169868850643364,99.336
483.0,1.4895248925734705,99.348
484.0,1.4625600441508875,99.36
485.0,1.4360833400044244,99.371
486.0,1.410085943265044,99.383
487.0,1.3845591770374122,99.394
488.0,1.3594945215039238,99.405
489.0,1.334883611081102,99.416
490.0,1.310718231627521,99.427
491.0,1.286990317702234,99.437
492.0,1.2636919498728685,99.448
493.0,1.2408153520724166,99.458
494.0,1.2183528890039141,99.468
495.0,1.196297063592061,99.478
496.0,1.174640514481014,99.487
497.0,1.1533760135774525,99.496
498.0,1.1324964636381225,99.506
499.0,1.1119948959010755,99.515
500.0,1.0918644677597527,99.524
501.0,1.072098460479217,99.532
502.0,1.052690276953688,99.541
503.0,1.0336334395047073,99.549
504.0,1.0149215877191315,99.558
505.0,0.9965484763262961,99.566
506.0,0.9785079731135761,99.574
507.0,0.9607940568797155,99.582
508.0,0.9434008154251725,99.589
509.0,0.9263224435788783,99.597
510.0,0.909553241260689,99.604
511.0,0.8930876115789371,99.612
512.0,0.8769200589624071,99.619
513.0,0.8610451873261276,99.626
514.0,0.845457698270386,99.633
515.0,0.8301523893123186,99.639
516.0,0.815124152149543,99.646
517.0,0.8003679709551982,99.653
518.0,0.7858789207038727,99.659
519.0,0.7716521655278155,99.665
520.0,0.7576829571029288,99.671
521.0,0.7439666330639539,99.678
522.0,0.7304986154483709,99.683
523.0,0.7172744091684463,99.689
524.0,0.7042896005109629,99.695
525.0,0.6915398556640873,99.701
526.0,0.6790209192709249,99.706
527.0,0.6667286130092486,99.712
528.0,0.6546588341969362,99.717
529.0,0.6428075544226678,99.722
530.0,0.6311708182013929,99.727
531.0,0.6197447416541566,99.732
532.0,0.6085255112118063,99.737
533.0,0.5975093823421826,99.742
534.0,0.5866926783003369,99.747
535.0,0.5760717889013851,99.752
536.0,0.5656431693155679,99.756
537.0,0.5554033388851334,99.761
538.0,0.5453488799626235,99.765
539.0,0.5354764367702101,99.77
540.0,0.5257827142796588,99.774
541.0,0.5162644771125904,99.778
542.0,0.5069185484606334,99.782
543.0,0.4977418090251331,99.786
544.0,0.488731195976058,99.79
